business_id,business_name,community_id
Z5po0aTuzKKblek5y6Sp8Q,500 Degrees,-1
kfpwO_cdVQdTh2_oMDZ51Q,American Sardine Bar,-1
oJxsRgj8Un9VAPXpaDuufA,Bank & Bourbon,-1
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,-1
PYUI1OJVksGUbCrteU68bw,Bourbon & Branch,-1
5hvO_zH7B1n2humawoPHrw,Bourbon Blue,-1
8j3blTZChklt3j89jxx0fw,Brauhaus Schmitz,-1
pXRrRf8fDv6yU3xp1E25hA,Bud & Marilyn's,-1
LzVvcVm48zYIcQnwLKt1oA,Catahoula,-1
swcfmflnWlhnbvPOHvPq_A,Chabaa Thai Bistro,-1
7hpUoYdAVToZXwuPRgoqdA,Chapterhouse Café & Gallery,-1
C_EtrXTygRX5RTUOKtO6Dg,Copabanana,-1
Gr6nYrQ_-3p4LcE4M84lTw,Dave & Buster's,-1
aUoMG97DMJG4nmwhT6z1zA,Devon Seafood Grill,-1
pWzrmh1oiU9ngWXGHKnnwQ,Down Home Diner,-1
qRgeV1CMZawRblc2qjHo_g,El Jarocho,-1
oqy15jhe1lOXttEvd4Srog,El Poquito,-1
1yuSWypzGewvhNZSwUlvPw,Ela,-1
IcLm9Z1zphLnzUvrFK6aiA,Erawan Thai Cuisine,-1
y1Z9tymuBGVDZnYZoLk-2Q,Fork,-1
L0c6-mnkcV9fXLk0--dkWQ,Fox and Hound,-1
rYqmaOIULRouz_1db07OdQ,Green Eggs Cafe,-1
vXb4OWsjPoiBtmarfexj-g,Green Eggs Café,-1
0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,-1
bffLbfi1IEAff5C2IHJvFA,Han Dynasty,-1
PhLYLCjM_dS_seS_fMBVeg,Helium Comedy Club,-1
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,-1
Rzx2E5XgTeGU7FEbUZ-bGg,IKEA,-1
9-tZDrMjJYBbpCJoU3WXAQ,Indian Restaurant,-1
ohWH383r60AREWh-aphpSw,Iron Hill Brewery & Restaurant,-1
1Ck2drCXGh1h5bhc9aIRpg,Jack's Firehouse,-1
d_tRshM-w6S4QxE4VVi8tQ,Jones,-1
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,-1
TRwPE6wsoAL6_fRaFdB4FA,Karma Restaurant & Bar,-1
7yPzOek7Af2dKWGYKpcHWA,Khmer Kitchen,-1
Lw1gzZZGI2GFQc6BI5zyJw,Kite & Key,-1
bdteJqgoj0OaALhj9RFtmw,Koreana,-1
htO_nlxkEsYHzDrtbiUxew,La Colombe Coffee,-1
6wqxuBt2InDipRuUj8BNuQ,La Colombe Coffee,-1
DhZVpgeBKxoLd91MiwTxpg,La Fontana Della Citta,-1
4_VDvhKpKSsj7jZYdocZYA,La Viola,-1
pW5DXTpKnw3y0fopipbJVg,Landmark Americana Tap & Grill - University City,-1
j6usntbtSzFyuwx4n2mn1g,Las Bugambilias,-1
434A83c2ig6QxsZjrjclpQ,Las Margaritas,-1
Iyopb5uFIBT_HOgp8ipSfw,Le Viet Restaurant,-1
0-7N3z_cb3Z1xMGDrbez6w,Le Virtu,-1
s2JiYzE7i68cXIV6YEcVTw,Local 44,-1
DRr5xdfHtqgWfhmdTU1B8Q,London Grill,-1
Pl_9HzOa8uy_YOUxgonzGw,Los Gallos Mexican Taqueria,-1
XQWZQjC73fCTRGWnD18-Eg,Mac Mart,-1
SIoCIxjn4jLt2O-4DajWJw,Mac's Tavern,-1
vpNJJNVgVmf2u1lfdFh81w,Matyson,-1
Mt6XTQfwk2DUD3AK29YIBg,Melograno,-1
49Gyz-LD9MxTh1yzbYiOhw,Menagerie Coffee,-1
V_jy9Aemc3kjznqhbsu_Dg,MilkBoy,-1
d28lZlSps97FHhXZazJ8zA,Misconduct Tavern,-1
D2OcZHMkznF5bbelwZ7TPw,Molly Malloy's,-1
8kUh6TROemLfbVR_ewVVLg,Nam Phuong,-1
tcvNBC65Gsa4cH1_gyucpQ,Noord,-1
qsAZNQ-6P4I9r7onkBZJ_g,Percy Street Barbecue,-1
mVV95BIwhFOa7TNH9pVMGA,Philadelphia Chutney Company,-1
2fJ-WxJlUN6azp3bzrJ0zA,Pho Ha,-1
ueAkLzWFFTzQkq3jzyBlnA,Pho Xe Lua Viet Thai Restaurant,-1
7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,-1
bIGFd99r3iUNB0xshlZ5Sw,Pumpkin,-1
j99PtxlKTW_u5alE4jiqHQ,Ralphs Italian Restaurant,-1
gEX_kEhYgvLKGJtlY45BmQ,Rangoon Burmese Restaurant,-1
DsKzHnkLKnxZTVsFpts4oA,Red Owl Tavern,-1
ozOneB4jXOD6hv5WBGj4KQ,Ristorante Pesto,-1
-DGsnMlRrR_tv8avrpQLQw,Sam's Morning Glory Diner,-1
uIZwBkvWicqyWraXvYOipw,Sbraga,-1
khH0QtNyUjcExh9i2CwGfg,Serpico,-1
V0SHmvYtXqdv8-AsqshV6w,Smokin Bettys,-1
0mijbNf-7wiKJ9xto1pAyg,Spice Finch,-1
oBhJuukGRqPVvYBfTkhuZA,Square 1682,-1
HngRiL6Z3DFTDnNsXZ0TQw,Stateside,-1
_UOg5_pk9IhKee91eWrT4A,Sweet Lucy's Smokehouse,-1
gQCKrqkalAc--4cuW_C_Ow,Tacconelli's Pizzeria,-1
i_FWONQD1ZBqrNE2b-M5Ug,Talula's Garden,-1
GWv1-6HFvZf4cOy1J6_CKQ,Taqueria Feliz,-1
f2RHDdXezLHILvM7v1xOVA,Taqueria La Veracruzana,-1
kxKai8GE5oDMPevV7oxvbA,Tequilas Restaurant,-1
K0JZOvCUgYtbPjcDzys_kw,The Cambridge,-1
8pqdJjefYq-a9IBSJJmKwA,The Dandelion,-1
9qXd3Frdpw2NFesclk7nPg,The Farmers' Cabinet,-1
rgSHLh2Le0Un82FDxbq0mg,The Little Lion,-1
P2Lm1g_RztvIaH4daQsXoQ,Three Monkeys Cafe,-1
IWHdx0NhDKADkGOgXgOFKQ,Tommy DiNic's,-1
K6hAv8V2cTuXQtU3VHAD6w,Tres Jalapenos,-1
-v8dtO9BZmKidXLMohiQhQ,Urban Saloon,-1
1UNJeHTsS7WS9RxRzHw06g,Varga Bar,-1
SPEXSaryxJmVpy8QoRz7Tg,Vietnam Cafe,-1
zRjUMHQJ5gAmFhcXZtLacA,Vietnam Restaurant,-1
Vnagnur1os0ZduOpvDH27A,Villa Di Roma,-1
-5Rah4ZvWsDu4oilUZxhtw,World Cafe Live,-1
R17gwW6zn9ilslbdvKdgsg,Alma de Cuba,0
S8ZFYEgMejpChID8tzKo9A,Amada,0
I2ISRV7IybkMc3HEYKUE9g,Audrey Claire,0
GKBN0jG6f9XhvWmAEOgYPw,Bar Ferdinand,0
6CUkqed0rhHtFwQ2i7Otsw,Barcelona Wine Bar Passyunk,0
wbDRmtxaKRpBOjutvV6TEA,Barclay Prime,0
2er_V-oAd7IbQ5YTY56r7A,Bareburger - Midtown Village,0
